date,AAL,DAL,UAL,LUV,ALK
2022-03-25,1.6761610364905406,1.5392512881471776,1.850742659671255,1.1809355408976276,1.3628418888725684
2022-03-28,1.6782919365541593,1.5395635885052115,1.8515922329186234,1.17909527982656,1.3585321548054303
2022-03-29,1.7036068488057854,1.552549979066843,1.8687481004733244,1.1863269380145693,1.3677010679686286
2022-03-30,1.703800078140494,1.5532221386199851,1.8659340350223372,1.1843771004170431,1.3688921280756388
2022-03-31,1.684075240840189,1.5323087550912102,1.8424493091851464,1.1696516153101124,1.3570923383666131
2022-04-01,1.6881429808652493,1.5259908939838307,1.8404573490335059,1.162141636229584,1.3537165803675708
2022-04-04,1.6830280057488167,1.524178969895803,1.8336193648719117,1.1603458321796758,1.3470685713723263
2022-04-05,1.6823368566118084,1.5182341301359972,1.8295764392339953,1.1601605794359475,1.3396791639257553
2022-04-06,1.6892911360065743,1.5303330066433254,1.8392401749861178,1.1701574673605304,1.347919171079534
2022-04-07,1.6874670165368248,1.5328003730508755,1.8432049873127443,1.1652417043621672,1.3434843103493646
2022-04-08,1.6894991536714477,1.5334646501316176,1.8436280780307912,1.1682880932316417,1.3456132246152301
2022-04-11,1.6505253906401018,1.4829435556160535,1.8091359675470067,1.1246933624295514,1.3209087493067
2022-04-12,1.6472594998188457,1.4805534658674304,1.808399121326037,1.12319567089576,1.3194566971914505
2022-04-13,1.703235645782498,1.5229416313100739,1.8413343789401015,1.160153498132627,1.3516285317746346
2022-04-14,1.6907611389566986,1.4947696168450746,1.8293288193137538,1.1441629175550685,1.3336522745815333
2022-04-18,1.6876930309661062,1.4941248563761989,1.8278714391045052,1.1443684259378808,1.3334820483170333
2022-04-19,1.6942340437717434,1.4841618387869597,1.8153293202463439,1.1401611989270757,1.3308836938599162
2022-04-20,1.688160829252761,1.4777750304143231,1.8088712413649188,1.129352965192097,1.3236608544458577
2022-04-21,1.6339478020608416,1.4409193178082107,1.7290702353454332,1.1008732312515546,1.3030668868964206
2022-04-22,1.5684772688047746,1.4171214069140976,1.6495298797402027,1.1027871466990185,1.2957528547998651
2022-04-25,1.5607395117201355,1.411753009902133,1.6458014418704687,1.098937686535929,1.2935422286999367
2022-04-26,1.57850085996378,1.400491771442788,1.6455491872905144,1.0959721819882569,1.3023040385523694
2022-04-27,1.5791826667638271,1.4033103216703409,1.64828253920069,1.0978817684063953,1.3027921294219322
2022-04-28,1.5707601590022449,1.3987652504750545,1.6392048997366182,1.0915774148334896,1.2958437623952757
2022-04-29,1.5444202168369987,1.3726177793839625,1.5961639647161394,1.0431362246148217,1.261153142131666
2022-05-02,1.5392743957528383,1.3697139548733834,1.5927993232719664,1.041925567815267,1.2547903381803165
2022-05-03,1.539913092356188,1.3636560761419092,1.5906569552181284,1.0405805794507168,1.2486318397004414
2022-05-04,1.5165684046067036,1.330442929460798,1.5481543461394276,1.0257371831595323,1.2166394077050326
2022-05-05,1.5220024554699263,1.3248874119022451,1.55619115848508,1.0095496890379914,1.2185362951837715
2022-05-06,1.5246894921381784,1.324621922361559,1.555001482181676,1.009619360176271,1.2193736840772715
2022-05-09,1.568821965114245,1.350674447397949,1.5977895500076877,1.0293325582940966,1.2400566498641212
2022-05-10,1.5682911615040824,1.3489945151572182,1.5959581517512993,1.0259581672217388,1.2369091317446177
2022-05-11,1.571436814495678,1.3449843756233046,1.5951242354313608,1.0332628788446456,1.2559434658173523
2022-05-12,1.5709988112655373,1.34360042539482,1.592705697671306,1.0262202800362241,1.247250138587212
2022-05-13,1.5811483367042178,1.3373341115222939,1.580887205087008,1.0068195964878457,1.240584885205866
2022-05-16,1.584437614771122,1.338243265594972,1.581465735884213,1.0055422768614442,1.2439549835500652
2022-05-17,1.622192625095293,1.3688866018538148,1.6167538292937202,1.0255865036662308,1.261786368434246
2022-05-18,1.6027322223152367,1.3414814764705516,1.5961592582983175,0.9943142524894533,1.2326356734250865
2022-05-19,1.613729156350622,1.3506864540315064,1.6062853161965804,1.0019338803581117,1.238946989763825
2022-05-20,1.6131996778272324,1.3503253503929784,1.6061175438888158,1.0016554512762592,1.2386281434234916
2022-05-23,1.6126169555695504,1.346425586026424,1.6052143149472655,1.001080001041907,1.2282285218340134
2022-05-24,1.6281890468063471,1.3587018757317462,1.6204166133573723,1.0081339873133122,1.2365283251658814
2022-05-25,1.6340347918799234,1.3648651241633734,1.6257569153003295,1.0101403676712575,1.2386013846411121
2022-05-26,1.6567287578933962,1.3838675254322341,1.6487521529293938,1.0355247225571402,1.250960461759894
2022-05-27,1.6660525571741214,1.384801818749184,1.6576234587331093,1.0308135760820147,1.2505306548846133
2022-05-31,1.6673596440298981,1.3856885260849332,1.6594409811172814,1.0294184348937636,1.249923053413484
2022-06-01,1.6697155226304379,1.3956291765093216,1.6667220203116921,1.0367405185080072,1.2569770128926656
2022-06-02,1.654643484026265,1.383849369808109,1.6483445290232988,1.0271104254876386,1.2506805382981232
2022-06-03,1.6865273182860812,1.394637986934505,1.6569432946411216,1.027383200726577,1.2274248982523104
2022-06-06,1.6866235049672447,1.3954779857866222,1.657455235024089,1.0283006943278041,1.2272174833441514
2022-06-07,1.6891367169397267,1.3970586632359707,1.6637911273322723,1.0286287839640786,1.2268569530417945
2022-06-08,1.6928193717957514,1.4040415079869724,1.6704518834803386,1.035376092093302,1.2299163486749054
2022-06-09,1.6966176503505601,1.4088467389557315,1.6754813620019988,1.0416457698006782,1.2405924275116718
