date,AAL,DAL,UAL,LUV,ALK
2020-11-10,0.39731348668596234,0.2764845079581418,0.3453546757335267,0.23966337852887476,0.3061344720505618
2020-11-11,0.40520825529080085,0.3184624563654897,0.3628907525796308,0.2606580781871665,0.31520310504735316
2020-11-12,0.41159313775347495,0.3228372647028299,0.38379387539904897,0.2748497359272268,0.3395111949644583
2020-11-13,0.41159313775347495,0.3228372647028299,0.38379387539904897,0.2748497359272268,0.3395111949644583
2020-11-16,0.41159313775347495,0.3228372647028299,0.38379387539904897,0.27410722662926335,0.3395111949644583
2020-11-17,0.39094485185606664,0.31289987055626456,0.37003835582697386,0.265404378406521,0.3197382999994458
2020-11-18,0.39094485185606664,0.31289987055626456,0.37003835582697386,0.26543170823199497,0.3197382999994458
2020-11-19,0.39094485185606664,0.31289987055626456,0.3701198485090769,0.26543170823199497,0.3197382999994458
2020-11-20,0.3953594887371542,0.3185315390695589,0.3773715793995753,0.2675959197632543,0.3230336378476143
2020-11-23,0.3905502760327358,0.31817736732675583,0.37292226675800433,0.2646805081376864,0.3223519667836392
2020-11-24,0.3575918877722519,0.3086568127576006,0.36209055406645974,0.2646433086187937,0.32086397248419246
2020-11-25,0.3575918877722519,0.3086554639122218,0.36209055406645974,0.2646433086187937,0.32086397248419246
2020-11-27,0.35629021042649994,0.3066917881136846,0.34543242008817915,0.2645434725667337,0.32250232831292674
2020-11-30,0.3924131567900264,0.3119756037856837,0.34571865927023665,0.27768195651189964,0.32414672400635963
2020-12-01,0.3924131567900264,0.31267373973117873,0.34571865927023665,0.27768195651189964,0.3241512134545929
2020-12-02,0.3924131567900264,0.31267373973117873,0.34571865927023665,0.27768195651189964,0.3241512134545929
2020-12-03,0.3922498066535129,0.3096328969331364,0.34318307539185855,0.27672001267417395,0.3236827826118229
2020-12-04,0.3922498066535129,0.31218205677459,0.34538147541690956,0.27707089884125985,0.32370540774923984
2020-12-07,0.3730489333739785,0.3121828057449504,0.34538950048912587,0.27707089884125985,0.3405133691274433
2020-12-08,0.3245043277562831,0.2575310793150096,0.27916761704344534,0.25500617367286227,0.26925339960216393
2020-12-09,0.302774736987711,0.23340838173409087,0.26900089799714255,0.25865563304107975,0.2583545107760264
2020-12-10,0.2940247664609251,0.2108835347741443,0.23372681918656193,0.2236567734467323,0.21957771235815393
2020-12-11,0.3307328420467771,0.2192097453929749,0.24538414022115124,0.2307996149781331,0.23358637004853364
2020-12-14,0.33604149074541406,0.2307395114331117,0.2643364390541238,0.2340808893913548,0.24002000984101662
