date,AAL,DAL,UAL,LUV,ALK,SPY
2015-04-08,46.274879455566406,37.68751907348633,60.54999923706055,37.565650939941406,59.443904876708984,172.56105041503906
2015-04-09,45.420406341552734,37.55692672729492,61.15999984741211,37.53935241699219,58.83856964111328,173.32435607910156
2015-04-10,45.31595993041992,37.63528060913086,61.04999923706055,37.53935241699219,58.64594268798828,174.27017211914062
2015-04-13,45.372928619384766,37.49599075317383,61.0099983215332,37.48673629760742,58.086456298828125,173.48202514648438
2015-04-14,45.021636962890625,37.504695892333984,60.25,37.258827209472656,57.35270309448242,173.8139190673828
2015-04-15,45.3349494934082,38.47975540161133,60.9900016784668,36.70649719238281,56.88491439819336,174.5937957763672
2015-04-16,45.800167083740234,39.167510986328125,62.20000076293945,37.03963851928711,58.24238204956055,174.54400634765625
2015-04-17,45.7526969909668,38.96726989746094,61.4900016784668,36.63637924194336,57.756263732910156,172.53614807128906
2015-04-20,47.2432861328125,39.81174087524414,62.400001525878906,37.32018280029297,58.15065383911133,174.11260986328125
2015-04-21,48.76237106323242,40.247032165527344,63.70000076293945,37.72344970703125,59.553985595703125,173.90516662597656
2015-04-22,48.80034255981445,40.508201599121094,64.0199966430664,37.565650939941406,58.98530578613281,174.75970458984375
2015-04-23,48.84782028198242,40.421142578125,62.79999923706055,37.925079345703125,60.84723663330078,175.19949340820312
2015-04-24,50.04408645629883,40.899967193603516,63.5099983215332,38.12672424316406,62.644962310791016,175.60601806640625
2015-04-27,49.24657440185547,40.438560485839844,61.97999954223633,37.074703216552734,61.819461822509766,174.87586975097656
2015-04-28,48.6009635925293,40.220909118652344,61.41999816894531,36.724037170410156,60.966468811035156,175.43179321289062
2015-04-29,46.40780258178711,39.20232391357422,59.869998931884766,35.89997482299805,59.93002700805664,174.70997619628906
2015-04-30,45.94163131713867,38.86280822753906,59.7400016784668,35.55806350708008,58.756004333496094,172.95932006835938
2015-05-01,46.98813247680664,39.75079345703125,61.400001525878906,37.34648132324219,59.893341064453125,174.83445739746094
2015-05-04,46.56953430175781,39.42868423461914,60.91999816894531,36.67143630981445,59.187103271484375,175.33226013183594
2015-05-05,44.72386932373047,38.218570709228516,59.22999954223633,35.531761169433594,57.756263732910156,173.32435607910156
2015-05-06,44.761924743652344,38.4366569519043,59.439998626708984,35.83859634399414,58.003910064697266,172.61082458496094
2015-05-07,46.67417907714844,39.57075119018555,62.52000045776367,36.90814208984375,59.581485748291016,173.2994384765625
2015-05-08,46.6551513671875,40.277366638183594,62.439998626708984,37.898780822753906,60.78303909301758,175.58114624023438
2015-05-11,47.235496520996094,40.83567810058594,62.95000076293945,37.71469497680664,60.838069915771484,174.74313354492188
2015-05-12,46.474395751953125,40.216304779052734,61.86000061035156,37.03963851928711,59.78328323364258,174.2204132080078
2015-05-13,46.13189697265625,40.809505462646484,61.22999954223633,36.18050765991211,59.352195739746094,174.2536163330078
2015-05-14,46.44585418701172,41.35039138793945,61.75,36.9256706237793,60.65461730957031,176.07066345214844
2015-05-15,46.30314636230469,41.001434326171875,61.599998474121094,36.724037170410156,60.993988037109375,176.26148986816406
2015-05-18,46.617103576660156,41.32421875,62.25,36.943206787109375,61.98457717895508,176.80911254882812
2015-05-19,45.52302169799805,40.3122673034668,60.810001373291016,35.864898681640625,61.62579345703125,176.75100708007812
2015-05-20,40.96596908569336,38.05280685424805,54.540000915527344,32.60365295410156,58.83842468261719,176.6265411376953
2015-05-21,40.4046516418457,38.16622543334961,54.130001068115234,32.638710021972656,59.50996780395508,177.14102172851562
2015-05-22,40.5378532409668,37.668975830078125,53.689998626708984,32.3143424987793,59.24319076538086,176.7178192138672
2015-05-26,39.538909912109375,36.50871658325195,51.91999816894531,31.56040382385254,57.37574005126953,174.81784057617188
2015-05-27,40.18584060668945,37.10194396972656,53.70000076293945,32.42831802368164,58.323265075683594,176.47720336914062
2015-05-28,39.928977966308594,36.85767364501953,53.4900016784668,32.2705192565918,58.63603591918945,176.27809143066406
2015-05-29,40.309513092041016,37.44215774536133,54.59000015258789,32.480918884277344,59.463958740234375,175.18289184570312
2015-06-01,42.031497955322266,38.689659118652344,56.310001373291016,33.249568939208984,60.79785919189453,175.5396728515625
2015-06-02,41.65094757080078,37.695152282714844,55.95000076293945,33.22321701049805,60.457489013671875,175.3654327392578
